ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
43507,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/cc4ae58c3255a647.js,200,OK,49,350,33327
43508,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/d648ba6433a33f3d.js,200,OK,52,349,4982
43509,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/d5e289bff96cf0c1.js,200,OK,52,347,282
43510,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,45,265,9
43511,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/turbopack-8d555da1168ba933.js,200,OK,53,350,10249
43512,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/e580ea4b913d1be8.js,200,OK,52,350,27414
43513,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,18,265,9
43514,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/a6dad97d9634a72d.js,200,OK,71,352,112594
43515,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,13,265,9
43516,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2,200,OK,49,300,31288
43517,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/turbopack-8d555da1168ba933.js,200,OK,36,350,10249
43518,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/e580ea4b913d1be8.js,200,OK,38,350,27414
43519,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/d5e289bff96cf0c1.js,200,OK,38,347,282
